TripID,Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks
89673,01/04/2024,Rajiv Chowk,Pragati Maidan,5.71,34.65,111.5,15,Single,festival
95329,29/05/2023,Noida City Centre,Jasola Vihar,1.06,92.35,66.23,23,Smart Card,
32514,05/02/2023,   Kashmere Gate ,Pragati Maidan,9.06,108.55,42.8,26,Tourist Card,maintenance
137403,22/09/2024,Laxmi Nagar,Jasola Vihar,6.31,57.52,73.83,27,Smart Card,festival
108661,19/05/2024,Mandi House,Janakpuri West,3.5,169.1,39.27,19,Single,festival
117163,16/04/2023, Rajiv Chowk  ,Kashmere Gate,3.01,51.86,56.08,24,Smart Card,festival
34128,25/05/2022,Mandi House,Dilshad Garden,0.89,122.14,50.9,11,Smart Card,festival
75599,07/01/2023,Dilshad Garden,Jasola Vihar,6.86,121.6,65.33,14,Single,
94661,15/06/2023,Jasola Vihar,Janakpuri West,5.72,179.63,73.29,22,Tourist Card,maintenance
15667,19/08/2023,Hauz Khas,Rajiv Chowk,10.82,152.38,111.36,21,Single,festival
102641,08/01/2024,Rajiv Chowk,Jasola Vihar,1.4,145.89,81.22,19,Single,weekend
72836,21/01/2023,Rajiv Chowk,Barakhamba Road,8.08,50.11,79.86,16,Tourist Card,festival
58111,05/03/2023,Noida City Centre,Central Secretariat,5.83,131.49,60,17,Tourist Card,festival
41679,30/06/2022,Kashmere Gate,Barakhamba Road,11.1,190.69,101.44,24,Single,off-peak
111764,24/06/2023,Laxmi Nagar,Mandi House,9.7,70.24,47.63,23,Tourist Card,peak
95771,01/02/2023,Noida City Centre,Rajouri Garden,0.91,17.99,19.3,13,Tourist Card,weekend
142843,30/12/2023,Kalkaji Mandir,Janakpuri West,3.42,168.58,30.6,24,Single,
82450,18/07/2024,Central Secretariat,Kirti Nagar,13.75,29.47,62.05,20,Tourist Card,weekend
113687,04/04/2024,Mandi House,Old Delhi,7.13,111.57,49.8,31,Single,peak
42247,25/09/2023,Mandi House,Rajiv Chowk,0.96,167.81,93.28,13,Smart Card,peak
84726,09/02/2024,Noida City Centre,Pragati Maidan,3.23,157.11,107.32,26,Tourist Card,weekend
27727,03/11/2022,Jasola Vihar,Rajiv Chowk,2.83,15.82,62.86,18,Smart Card,maintenance
122224,27/11/2024,Rajiv Chowk,Pragati Maidan,1.24,169.88,80.35,17,Tourist Card,maintenance
40010,05/12/2022,New Delhi,Noida City Centre,0.63,131.06,104.38,14,Smart Card,maintenance
66017,25/07/2022,Mandi House,Netaji Subhash Place,4.15,38.87,112.43,22,Tourist Card,weekend
50464,07/06/2024,Noida City Centre,Janakpuri West,4.31,87.49,7.81,17,Tourist Card,
29065,07/03/2023,New Delhi,Netaji Subhash Place,2.16,90.06,42.49,12,Smart Card,weekend
34966,09/11/2024,Kalkaji Mandir,Jasola Vihar,1.26,129.01,103.45,17,Smart Card,off-peak
16623,09/04/2023,Model Town,Punjabi Bagh,4.8,90.49,7.86,26,Smart Card,maintenance
119291,01/12/2022,Central Secretariat,Kalkaji Mandir,8.38,170.24,89.74,26,Tourist Card,peak
86409,14/12/2024,Model Town,AIIMS,0.72,192.6,105.61,20,Single,festival
124009,27/12/2024,Noida City Centre,Kashmere Gate,3.31,185.75,8.16,22,Single,
85461,21/10/2022,   AIIMS  ,Laxmi Nagar,5.85,40.3,58.28,24,Tourist Card,
34258,13/02/2023,   Janakpuri West ,Rajouri Garden,3.29,43.08,90.13,21,Tourist Card,
50692,31/01/2022,Noida City Centre,Punjabi Bagh,1.1,158.45,17.02,14,Tourist Card,maintenance
10673,13/08/2022,Rajiv Chowk,Chandni Chowk,5.38,199.83,6.75,28,Smart Card,maintenance
144167,05/11/2022,AIIMS,Kirti Nagar,5.47,132.79,12.09,22,Single,
7322,06/08/2023,Dilshad Garden,Kalkaji Mandir,2.03,128.58,97.65,22,Tourist Card,peak
15111,18/04/2024,Chandni Chowk,Janakpuri West,12.13,183.45,101.06,22,Tourist Card,festival
129697,19/09/2024,Rajiv Chowk,Jasola Vihar,5.11,127.95,49.57,13,Tourist Card,maintenance
83565,09/02/2022,Inderlok,Chandni Chowk,2.42,49.64,68.54,19,Single,festival
119867,27/02/2023,Rajiv Chowk,Rajiv Chowk,8.16,98.78,89.39,26,Tourist Card,off-peak
133770,06/03/2024,Kashmere Gate,Shivaji Park,4.01,196,11.6,21,Smart Card,
146286,26/11/2024,Hauz Khas,Kalkaji Mandir,10.64,127.99,109.86,22,Single,off-peak
84222,07/04/2023, Kashmere Gate  ,Old Delhi,5.98,90.37,79.09,20,Tourist Card,festival
118,24/07/2022,AIIMS,Kashmere Gate,3.46,61.14,92.04,21,Tourist Card,peak
71202,28/01/2023, kashmere gate  ,Shivaji Park,3.27,84.95,47.51,21,Single,weekend
84950,06/06/2022,Rajiv Chowk,Model Town,0.55,169.45,28.18,16,Tourist Card,peak
52889,31/01/2024, central secretariat   ,New Delhi,26.05,14.59,66.41,22,Smart Card,off-peak
13859,29/07/2023,Chandni Chowk,AIIMS,1.06,193.26,112.8,22,,peak
136207,12/06/2022,Rajouri Garden,Chandni Chowk,4.04,95.71,22.34,16,,off-peak
22935,08/11/2023,Noida City Centre,Rajouri Garden,5.4,134.64,28.36,23,Tourist Card,festival
133891,24/01/2023,Noida City Centre,Punjabi Bagh,9.01,40.85,85.3,22,Tourist Card,off-peak
56198,17/12/2023,Kashmere Gate,Kirti Nagar,1.22,193.09,29.88,15,Single,off-peak
130665,11/10/2022,  Jasola Vihar ,Chandni Chowk,11.94,124.48,75.62,16,Single,
87519,27/03/2022, Janakpuri West   ,Kirti Nagar,7.51,130.89,75.05,18,Smart Card,off-peak
16603,19/01/2024,Rajiv Chowk,Dilshad Garden,9.78,84.59,86.89,12,Tourist Card,maintenance
105029,28/09/2024,Mandi House,Mandi House,7,150.89,79.82,22,Tourist Card,
13217,10/12/2022,  Rajiv Chowk ,Kashmere Gate,9.08,138.15,38.38,16,Smart Card,peak
38883,14/05/2024,Rajiv Chowk,Laxmi Nagar,11.04,150.69,28.81,21,Smart Card,peak
73884,15/10/2022,Rajiv Chowk,Kirti Nagar,8.22,44.63,96.72,16,Single,festival
17654,03/07/2024,Rajiv Chowk,Noida City Centre,0.65,168.45,99.67,20,Tourist Card,peak
142822,18/11/2023,Rajiv Chowk,Kalkaji Mandir,4.18,135.7,6.28,20,Tourist Card,weekend
84865,20/01/2024,Rajouri Garden,Dilshad Garden,1.76,158.65,100.31,14,Tourist Card,weekend
117264,23/11/2023,Kalkaji Mandir,Old Delhi,8.12,148.49,90.07,20,Single,peak
34411,18/11/2023,Kashmere Gate,Rajiv Chowk,1.67,190.07,100.65,13,Tourist Card,
117837,19/07/2024,   Kalkaji Mandir  ,Janakpuri West,6.65,20.69,111.66,18,Smart Card,maintenance
7417,30/11/2022,Laxmi Nagar,Kashmere Gate,10.69,53.44,22.08,18,,
17710,21/04/2022,Mandi House,Mandi House,9.16,175.99,48.65,8,Single,off-peak
136253,13/04/2022,   Rajiv Chowk   ,Inderlok,4.01,27.29,45.06,18,Smart Card,weekend
26211,12/05/2024,Mandi House,Noida City Centre,12.21,55.87,68.75,16,Tourist Card,
39345,25/03/2022, New Delhi  ,Old Delhi,3.21,113.92,107,19,Tourist Card,off-peak
116700,29/04/2023,New Delhi,Kirti Nagar,3.81,35.54,13.54,20,Tourist Card,weekend
95048,18/09/2023,Noida City Centre,Rajouri Garden,3.47,48.37,77.96,15,Single,peak
111110,28/05/2024,Rajiv Chowk,Netaji Subhash Place,1.74,24.46,7.08,26,Single,off-peak
51157,07/03/2024,   Inderlok ,Jasola Vihar,10,168.33,98.68,32,Tourist Card,peak
129331,30/05/2023,Chandni Chowk,Kashmere Gate,1.94,50.15,27.09,21,Tourist Card,
67234,16/05/2022,Noida City Centre,Dilshad Garden,2.61,21.52,29.14,34,Tourist Card,weekend
115062,11/01/2023,Noida City Centre,Rajouri Garden,2.49,160.42,29.97,18,Tourist Card,off-peak
17170,24/10/2022,Rajiv Chowk,Hauz Khas,1.05,137.78,118.61,26,Smart Card,
125745,08/02/2024,Noida City Centre,Shivaji Park,1.07,27.16,75.13,25,Tourist Card,
46673,20/01/2022,Noida City Centre,Shivaji Park,6.86,88.46,43.89,22,Tourist Card,
149918,14/07/2022,Inderlok,Old Delhi,6.23,88.8,82.85,18,Tourist Card,off-peak
102439,27/05/2024,Mandi House,Kalkaji Mandir,3.73,163.86,82.39,27,Tourist Card,festival
4891,13/12/2022, AIIMS ,Old Delhi,3.64,49.79,59.36,24,Tourist Card,maintenance
146811,30/01/2023,Dilshad Garden,New Delhi,1.07,153.46,69.44,20,Single,
10141,04/02/2022, LAXMI NAGAR  ,Dilshad Garden,2.7,59.42,89.7,22,Smart Card,
111238,09/04/2024,Noida City Centre,Jasola Vihar,3.97,187.59,49.74,14,Tourist Card,festival
117339,24/09/2024,Jasola Vihar,Janakpuri West,1.53,54.81,83.85,15,Single,maintenance
88469,27/11/2024,Hauz Khas,Chandni Chowk,5.52,108.79,22.51,16,Single,maintenance
116628,12/06/2024,Janakpuri West,Barakhamba Road,5.89,163.85,33.32,21,Tourist Card,festival
113106,11/09/2023,Noida City Centre,Rajiv Chowk,9.09,183.39,109.81,12,Tourist Card,weekend
57839,24/08/2022,Rajiv Chowk,Old Delhi,8.44,130.53,107.3,15,Single,
42458,14/04/2023,Noida City Centre,Janakpuri West,1.55,142.31,20.99,19,Smart Card,maintenance
57005,04/11/2024,Dilshad Garden,Jasola Vihar,4.53,198.09,28.94,16,Single,peak
27965,31/05/2023,Model Town,Rajiv Chowk,3.21,104.8,74.85,33,Single,maintenance
141962,15/01/2023,   Rajouri Garden  ,Kirti Nagar,3.03,104.92,51.99,22,Smart Card,maintenance
29910,08/09/2022,Inderlok,Hauz Khas,6.14,158.34,48.04,21,Tourist Card,maintenance
125078,26/02/2023,Noida City Centre,Mandi House,4.11,120.18,101.74,27,Tourist Card,
51213,20/10/2024,Dilshad Garden,New Delhi,1.95,129.57,28.72,20,Tourist Card,off-peak
109729,16/08/2024,   central secretariat  ,Rajouri Garden,3.75,196.18,55.38,23,Tourist Card,festival
63781,24/05/2023,Mandi House,Chandni Chowk,1.75,29.18,98.17,35,Smart Card,maintenance
8342,31/08/2023,Noida City Centre,Chandni Chowk,0.7,172.88,101.13,21,Single,peak
134181,10/02/2023,Dilshad Garden,Mandi House,6.14,130.87,117.2,19,Smart Card,maintenance
140419,04/08/2024,Mandi House,Kalkaji Mandir,1.58,145.99,83.36,18,Tourist Card,weekend
95547,13/06/2024,Inderlok,AIIMS,6.83,134.82,82.44,13,Tourist Card,off-peak
119333,16/07/2022,Mandi House,Pragati Maidan,2.91,140.06,115.4,23,Smart Card,peak
18608,07/07/2022,Mandi House,Mandi House,1.72,109.35,104.19,22,Tourist Card,off-peak
148774,26/02/2024,   hauz khas  ,Kashmere Gate,8.42,40.76,111.74,23,Tourist Card,peak
31588,06/08/2024,Central Secretariat,Janakpuri West,1.95,11.31,68.85,13,Tourist Card,off-peak
49188,21/04/2023,AIIMS,Old Delhi,9.54,63.1,85.24,17,Tourist Card,peak
24258,03/04/2022,Mandi House,Rajiv Chowk,2.31,197.57,17.36,31,Single,festival
82973,24/10/2023,Jasola Vihar,Laxmi Nagar,3,136.88,52.3,11,Single,festival
140114,19/01/2024,Model Town,Mandi House,6.73,131.8,28.14,27,Tourist Card,peak
41592,18/10/2022,Mandi House,Noida City Centre,9.87,46.64,72.97,19,Tourist Card,weekend
25246,23/09/2022,Central Secretariat,Noida City Centre,1.84,154.91,87.39,27,Tourist Card,
8396,10/02/2024,   Rajouri Garden ,New Delhi,0.82,116,35.6,20,Tourist Card,off-peak
29319,23/01/2022,New Delhi,AIIMS,16.21,130.25,59.1,21,Tourist Card,
7704,25/01/2023,Rajiv Chowk,Noida City Centre,1.57,44.91,49.02,20,Smart Card,
69358,18/03/2024,Chandni Chowk,Old Delhi,1.19,176.93,92.41,17,Tourist Card,peak
19079,19/04/2022,Model Town,Barakhamba Road,2.65,185.74,108.86,12,Tourist Card,festival
55709,30/10/2023,Kashmere Gate,Noida City Centre,5.53,65.96,49.46,18,Tourist Card,
147422,17/05/2023,Inderlok,Jasola Vihar,8,113.12,93.73,25,Tourist Card,maintenance
104159,10/04/2022,Inderlok,Old Delhi,1.01,168.06,36.3,19,Tourist Card,maintenance
108569,31/01/2023, Inderlok  ,Chandni Chowk,3.89,188.44,76.68,13,Single,weekend
8960,23/07/2024,Mandi House,Shivaji Park,3.67,199.77,110.02,11,Tourist Card,festival
73454,05/08/2023,New Delhi,Pragati Maidan,1.75,14.71,6.05,27,Tourist Card,off-peak
126236,04/11/2024,New Delhi,Punjabi Bagh,3.99,77.26,46.13,24,Smart Card,maintenance
36738,10/12/2022,New Delhi,Rajiv Chowk,2.32,143.86,62.86,26,Tourist Card,
19708,24/05/2023,Noida City Centre,Rajouri Garden,2.55,139.78,68.43,25,Tourist Card,off-peak
89106,07/08/2024,Rajiv Chowk,Mandi House,6.73,77.8,119.23,23,Tourist Card,maintenance
67266,27/11/2024,  kashmere gate   ,Central Secretariat,8.3,22,31.74,15,Single,festival
24644,14/10/2023,Laxmi Nagar,Old Delhi,6.7,113.67,13.38,20,Tourist Card,weekend
20183,25/09/2024,   HAUZ KHAS  ,Chandni Chowk,2.24,187.22,77.76,23,Smart Card,peak
127042,06/05/2023,Noida City Centre,New Delhi,1.02,176.7,81.95,18,Tourist Card,off-peak
69080,14/02/2024,Kashmere Gate,Janakpuri West,1.57,88.17,54.33,12,Tourist Card,weekend
31814,26/07/2022,Kalkaji Mandir,Shivaji Park,6.21,67.18,42.22,16,,festival
30991,03/08/2022, rajouri garden ,Punjabi Bagh,1.66,181.81,18.7,27,Tourist Card,maintenance
143577,18/02/2022, Chandni Chowk   ,Kalkaji Mandir,1.66,157.5,38.6,25,Smart Card,festival
133635,01/05/2023,Kalkaji Mandir,Model Town,8.97,193.41,119.55,29,Smart Card,off-peak
261,05/11/2023,  CHANDNI CHOWK   ,Dilshad Garden,1.92,60.77,18.57,22,Single,peak
61986,14/05/2022,Jasola Vihar,Kashmere Gate,22.54,133.67,64.49,14,Tourist Card,peak
54330,04/10/2022,Rajiv Chowk,Noida City Centre,4.18,50.85,81.8,21,Tourist Card,off-peak
136099,18/12/2023,AIIMS,Netaji Subhash Place,1.89,42.41,11.93,15,Single,
58031,06/08/2023,Dilshad Garden,New Delhi,2.77,96.33,8.12,17,Smart Card,festival
116582,01/10/2024,Rajiv Chowk,Noida City Centre,1.56,33.08,35.8,18,Smart Card,peak
65758,18/12/2024,Rajiv Chowk,Rajiv Chowk,4.79,130.59,8.56,18,Single,peak
83358,23/11/2022,Noida City Centre,Hauz Khas,1.33,78.02,44.46,23,Tourist Card,weekend
18540,11/03/2024,Mandi House,Rajouri Garden,4.09,51.07,111.28,19,Smart Card,
39224,31/07/2023,Rajiv Chowk,Shivaji Park,7.51,83.51,46.56,21,Single,
62550,27/01/2022,  CHANDNI CHOWK  ,Shivaji Park,4.24,141.52,47.02,16,Smart Card,maintenance
149344,22/07/2023,Hauz Khas,Noida City Centre,30.92,179.64,14.46,14,Tourist Card,peak
51818,27/05/2022,Rajiv Chowk,Kalkaji Mandir,2.56,188.27,58.73,16,Smart Card,maintenance
115987,26/03/2023,   hauz khas   ,Punjabi Bagh,6.46,184.2,59.13,26,Single,festival
41259,02/01/2024,  Noida City Centre  ,Old Delhi,2.34,27.29,6.2,21,Tourist Card,peak
110040,13/12/2024,Jasola Vihar,Rajiv Chowk,3.21,179.93,24.82,15,Tourist Card,weekend
115290,13/05/2023,Rajiv Chowk,Dilshad Garden,3.37,39.23,119.46,21,Single,maintenance
120499,30/10/2023,Laxmi Nagar,Pragati Maidan,3.73,132.18,55.27,31,Single,
99639,24/05/2024,Mandi House,Janakpuri West,1.28,69.96,92.06,21,Single,festival
5955,19/02/2022,Mandi House,Shivaji Park,3.97,161.95,33.54,20,Tourist Card,festival
148288,12/12/2023,  KALKAJI MANDIR ,Kirti Nagar,0.6,133.71,64.38,18,Tourist Card,off-peak
10396,27/03/2024,AIIMS,Dilshad Garden,5.82,159.58,79.9,20,Smart Card,off-peak
107132,19/06/2022,Dilshad Garden,Inderlok,10.4,81.16,111.58,22,Smart Card,
99483,23/05/2022,Noida City Centre,Hauz Khas,0.69,55.91,73.62,26,Tourist Card,maintenance
131103,09/09/2024,Kashmere Gate,Kalkaji Mandir,5.1,170.34,85.25,26,Tourist Card,
42167,11/12/2023,Rajiv Chowk,Punjabi Bagh,10.63,161.55,62.45,15,Tourist Card,weekend
104940,12/02/2022,Rajiv Chowk,Old Delhi,1.11,53.71,19.29,19,Tourist Card,festival
48838,01/06/2023,Rajiv Chowk,Netaji Subhash Place,18.14,138.25,29.1,27,Tourist Card,maintenance
98162,10/11/2024,Kalkaji Mandir,Rajiv Chowk,2.63,149.45,34.83,18,Tourist Card,festival
118819,12/08/2023,Mandi House,Janakpuri West,1.87,69.04,80.23,15,Tourist Card,weekend
4879,01/02/2023,   Central Secretariat  ,Mandi House,1.68,27.26,113.37,12,Tourist Card,
105105,15/06/2024,Model Town,Janakpuri West,0.59,99.2,57.06,25,Tourist Card,off-peak
136069,02/07/2023,Noida City Centre,Janakpuri West,6.87,196.4,77.59,9,Tourist Card,
97012,22/06/2024,Kashmere Gate,Laxmi Nagar,4.26,134.74,96.19,23,Tourist Card,weekend
43824,30/03/2022, AIIMS ,New Delhi,4.76,78.24,23.9,22,Single,
91959,17/11/2023,   Model Town  ,Mandi House,2.44,153.57,81.96,19,Single,
131783,04/05/2023,Kalkaji Mandir,Kashmere Gate,2.08,34.21,8.22,21,Smart Card,off-peak
127083,02/03/2023,   Rajiv Chowk   ,Shivaji Park,8.14,100.59,76.54,19,Smart Card,off-peak
40207,13/06/2022,Rajouri Garden,Jasola Vihar,11.46,178.71,55.61,15,Single,maintenance
22620,19/10/2022,Inderlok,Hauz Khas,8.52,114.21,10.14,20,Smart Card,weekend
121046,28/10/2024,Rajiv Chowk,Mandi House,0.74,120.81,23.29,21,Tourist Card,
114676,28/08/2023,Mandi House,Shivaji Park,7.76,179.39,47.53,22,Tourist Card,festival
50069,13/03/2023, jasola vihar  ,Old Delhi,2.49,174.43,97.98,16,Tourist Card,off-peak
120940,19/08/2024,Noida City Centre,Hauz Khas,18.36,110.38,30.15,17,Smart Card,off-peak
116662,02/07/2024,Noida City Centre,Mandi House,2.42,107.93,41.57,20,Tourist Card,festival
141702,28/03/2024,  Noida City Centre ,AIIMS,2.41,61.98,99.4,18,Tourist Card,
91980,16/01/2022,New Delhi,Model Town,0.6,116.45,65.35,26,Single,
112845,21/08/2023,Central Secretariat,Laxmi Nagar,2.33,155.74,79.16,23,Tourist Card,festival
75103,13/06/2022,   Model Town ,AIIMS,3.69,58.54,84.22,25,Tourist Card,festival
72218,14/11/2022,AIIMS,Netaji Subhash Place,1.07,58.54,43.73,19,Single,maintenance
103668,22/07/2022,  Noida City Centre  ,Laxmi Nagar,1.44,132.93,70.4,26,Tourist Card,off-peak
130711,11/03/2023,New Delhi,Laxmi Nagar,1.52,60.21,90.1,20,Tourist Card,
65094,31/03/2024,   aiims   ,Janakpuri West,3.42,19.46,24.13,21,Single,
64068,12/11/2024,Janakpuri West,Central Secretariat,5.08,107.23,38.56,26,Smart Card,maintenance
123515,13/07/2022,Rajiv Chowk,New Delhi,3.65,165.46,59.89,21,Smart Card,peak
116222,11/08/2024,Rajiv Chowk,Kirti Nagar,2.89,115.58,8.26,20,Tourist Card,weekend
100595,16/11/2023,Inderlok,Kashmere Gate,15.32,155.04,53.8,20,Tourist Card,
96163,22/12/2023,Rajiv Chowk,Janakpuri West,0.61,35.53,43.1,13,Smart Card,maintenance
51514,01/12/2022,  Inderlok  ,Rajiv Chowk,1.72,136.78,69.74,19,Smart Card,festival
136066,08/04/2023,  AIIMS   ,Pragati Maidan,9.69,114.05,42.43,15,Single,weekend
70330,25/10/2022,Noida City Centre,Kashmere Gate,0.65,112.39,59.14,27,Tourist Card,weekend
80236,31/03/2024,  Rajiv Chowk   ,Pragati Maidan,0.57,184.21,63.09,18,Smart Card,weekend
60891,30/06/2022,Rajiv Chowk,AIIMS,15.58,131.32,98.52,27,Smart Card,weekend
50189,21/01/2023,Noida City Centre,Kalkaji Mandir,0.95,197.32,113.63,24,Tourist Card,weekend
18350,19/10/2022,Hauz Khas,Kirti Nagar,7.4,22.05,84.97,20,Tourist Card,weekend
75232,15/11/2024,Inderlok,Laxmi Nagar,1.13,133.3,67.12,29,Smart Card,festival
92384,18/01/2024,Chandni Chowk,Rajouri Garden,4.73,122.86,15.26,31,Single,maintenance
142622,25/02/2022,Rajiv Chowk,Mandi House,2.16,177.34,30.33,17,Smart Card,weekend
58080,27/06/2024,Mandi House,Netaji Subhash Place,10.8,162.8,83.37,26,Tourist Card,peak
379,10/06/2024,Kashmere Gate,Hauz Khas,3.32,156.73,100.23,21,Tourist Card,festival
42028,23/05/2022,   Kashmere Gate  ,Central Secretariat,2.76,14.62,57.53,24,Tourist Card,maintenance
97216,19/12/2023,Model Town,Kashmere Gate,5.71,141.74,92.61,17,Tourist Card,off-peak
105730,05/08/2023,Central Secretariat,New Delhi,5.9,135.6,9.17,17,Smart Card,weekend
77483,22/09/2023,Mandi House,Rajouri Garden,3.61,90.34,20.17,18,Tourist Card,festival
9460,10/01/2023,Jasola Vihar,Noida City Centre,0.52,23.1,76.05,26,Tourist Card,peak
1967,22/07/2022,Rajiv Chowk,Kashmere Gate,8.57,20.92,75.65,15,Smart Card,maintenance
135292,14/01/2023, MODEL TOWN  ,Kalkaji Mandir,8.39,66.57,91.89,21,Tourist Card,maintenance
102721,12/09/2023,Rajiv Chowk,Rajouri Garden,1.14,63.87,80.86,21,Single,off-peak
74833,10/01/2023,Rajiv Chowk,Chandni Chowk,3.7,183.45,19.87,21,Single,
126478,28/11/2022,New Delhi,Pragati Maidan,1.03,118.65,114.07,17,Smart Card,
65363,14/01/2023,Mandi House,AIIMS,2.18,110.75,27.18,21,Single,weekend
31600,16/02/2024,Jasola Vihar,Barakhamba Road,9.62,70.49,79.55,18,Single,
88376,04/02/2024,Central Secretariat,Kashmere Gate,5.42,159.5,40.5,27,Tourist Card,weekend
51910,29/06/2023,Rajiv Chowk,Chandni Chowk,6.04,83.24,29.15,16,Smart Card,off-peak
89821,06/07/2024,Kashmere Gate,Pragati Maidan,1.16,128.72,11.15,19,Tourist Card,
24012,15/06/2024,Dilshad Garden,Barakhamba Road,11.6,32.7,97.34,20,Single,maintenance
75577,31/01/2024,Noida City Centre,Kashmere Gate,14.99,102.65,60.77,18,Tourist Card,
99095,08/08/2023,Noida City Centre,Rajouri Garden,1.21,43.25,97.9,26,Single,weekend
104668,26/07/2024, Laxmi Nagar ,Pragati Maidan,5.98,59.6,113.12,19,Tourist Card,peak
85148,15/12/2023,Noida City Centre,Rajiv Chowk,1.33,66.15,54.59,18,Tourist Card,
124522,03/02/2023,Mandi House,Kalkaji Mandir,6.61,82.49,26.87,17,Smart Card,off-peak
13229,30/04/2022,Inderlok,Jasola Vihar,1.82,140.22,37.69,21,Smart Card,weekend
